cast_row_id,movie_id,person_id,actor_name,character_name,cast_order
121,671,10980,Daniel Radcliffe,Harry Potter,0
122,671,10989,Rupert Grint,Ron Weasley,1
123,671,10990,Emma Watson,Hermione Granger,2
124,671,194,Richard Harris,Albus Dumbledore,3
125,671,10993,Tom Felton,Draco Malfoy,4
126,671,4566,Alan Rickman,Severus Snape,5
127,671,1923,Robbie Coltrane,Rubeus Hagrid,6
128,671,10978,Maggie Smith,Minerva McGonagall,7
129,671,10983,Richard Griffiths,Vernon Dursley,8
130,671,10985,Ian Hart,Quirinus Quirrell,9
131,1726,3223,Robert Downey Jr.,Tony Stark,0
132,1726,18288,Terrence Howard,Rhodey,1
133,1726,1229,Jeff Bridges,Obadiah Stane,2
134,1726,12052,Gwyneth Paltrow,Pepper Potts,3
135,1726,57451,Leslie Bibb,Christine Everhart,4
136,1726,17857,Shaun Toub,Yinsen,5
137,1726,57452,Faran Tahir,Raza,6
138,1726,9048,Clark Gregg,Agent Coulson,7
139,1726,17200,Bill Smitrovich,General Gabriel,8
140,1726,173810,Sayed Badreya,Abu Bakaar,9
141,603,6384,Keanu Reeves,Neo,0
142,603,2975,Laurence Fishburne,Morpheus,1
143,603,530,Carrie-Anne Moss,Trinity,2
144,603,1331,Hugo Weaving,Agent Smith,3
145,603,9364,Gloria Foster,Oracle,4
146,603,532,Joe Pantoliano,Cypher,5
147,603,9372,Marcus Chong,Tank,6
148,603,7244,Julian Arahanga,Apoc,7
149,603,9374,Matt Doran,Mouse,8
150,603,9376,Belinda McClory,Switch,9
151,68718,134,Jamie Foxx,Django Freeman,0
152,68718,27319,Christoph Waltz,Dr. King Schultz,1
153,68718,6193,Leonardo DiCaprio,Calvin J. Candie,2
154,68718,11703,Kerry Washington,Broomhilda von Shaft,3
155,68718,2231,Samuel L. Jackson,Stephen,4
156,68718,27740,Walton Goggins,Billy Crash,5
157,68718,27770,Dennis Christopher,Leonide Moguy,6
158,68718,1736,James Remar,Butch Pooch / Ace Speck,7
159,68718,1067187,David Steen,Mr. Stonesipher,8
160,68718,1133063,Dana Gourrier,Cora,9
161,299534,3223,Robert Downey Jr.,Tony Stark / Iron Man,0
162,299534,16828,Chris Evans,Steve Rogers / Captain America,1
163,299534,103,Mark Ruffalo,Bruce Banner / Hulk,2
164,299534,74568,Chris Hemsworth,Thor,3
165,299534,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,4
166,299534,17604,Jeremy Renner,Clint Barton / Hawkeye,5
167,299534,16851,Josh Brolin,Thanos,6
168,299534,1896,Don Cheadle,James Rhodes / War Machine,7
169,299534,22226,Paul Rudd,Scott Lang / Ant-Man,8
170,299534,71580,Benedict Cumberbatch,Doctor Strange,9
171,475557,73421,Joaquin Phoenix,Arthur Fleck,0
172,475557,380,Robert De Niro,Murray Franklin,1
173,475557,1545693,Zazie Beetz,Sophie Dumond,2
174,475557,4432,Frances Conroy,Penny Fleck,3
175,475557,16841,Brett Cullen,Thomas Wayne,4
176,475557,74242,Shea Whigham,Detective Burke,5
177,475557,121718,Bill Camp,Detective Garrity,6
178,475557,1377670,Glenn Fleshler,Randall,7
179,475557,1416396,Leigh Gill,Gary,8
180,475557,6181,Josh Pais,Hoyt Vaughn,9
181,120,109,Elijah Wood,Frodo,0
182,120,1327,Ian McKellen,Gandalf,1
183,120,110,Viggo Mortensen,Aragorn,2
184,120,1328,Sean Astin,Sam,3
185,120,65,Ian Holm,Bilbo,4
186,120,882,Liv Tyler,Arwen,5
187,120,113,Christopher Lee,Saruman,6
188,120,48,Sean Bean,Boromir,7
189,120,1329,Billy Boyd,Pippin,8
190,120,1330,Dominic Monaghan,Merry,9
191,597,6193,Leonardo DiCaprio,Jack Dawson,0
192,597,204,Kate Winslet,Rose DeWitt Bukater,1
193,597,1954,Billy Zane,Cal Hockley,2
194,597,8534,Kathy Bates,Molly Brown,3
195,597,3713,Frances Fisher,Ruth DeWitt Bukater,4
196,597,8535,Gloria Stuart,Old Rose,5
197,597,2053,Bill Paxton,Brock Lovett,6
198,597,1369,Bernard Hill,Captain Smith,7
199,597,2076,David Warner,Spicer Lovejoy,8
200,597,8536,Victor Garber,Thomas Andrews,9
201,122,109,Elijah Wood,Frodo,0
202,122,1327,Ian McKellen,Gandalf,1
203,122,110,Viggo Mortensen,Aragorn,2
204,122,1328,Sean Astin,Sam,3
205,122,1333,Andy Serkis,Gollum / Smeagol,4
206,122,1330,Dominic Monaghan,Merry,5
207,122,1329,Billy Boyd,Pippin,6
208,122,1381,John Noble,Denethor,7
209,122,1371,David Wenham,Faramir,8
210,122,502,Miranda Otto,Éowyn,9
211,106646,6193,Leonardo DiCaprio,Jordan Belfort,0
212,106646,21007,Jonah Hill,Donnie Azoff,1
213,106646,234352,Margot Robbie,Naomi Lapaglia,2
214,106646,10297,Matthew McConaughey,Mark Hanna,3
215,106646,3497,Kyle Chandler,Agent Patrick Denham,4
216,106646,3026,Rob Reiner,Max Belfort,5
217,106646,19498,Jon Bernthal,Brad,6
218,106646,15277,Jon Favreau,Manny Riskin,7
219,106646,56024,Jean Dujardin,Jean Jacques Saurel,8
220,106646,34901,Joanna Lumley,Aunt Emma,9
221,11324,6193,Leonardo DiCaprio,Teddy Daniels,0
222,11324,103,Mark Ruffalo,Chuck Aule,1
223,11324,2282,Ben Kingsley,Dr. Cawley,2
224,11324,2201,Max von Sydow,Dr. Naehring,3
225,11324,1812,Michelle Williams,Dolores,4
226,11324,1246,Emily Mortimer,Rachel 1,5
227,11324,1276,Patricia Clarkson,Rachel 2,6
228,11324,17183,Jackie Earle Haley,George Noyce,7
229,11324,15854,Ted Levine,Warden,8
230,11324,3911,John Carroll Lynch,Deputy Warden McPherson,9
231,99861,3223,Robert Downey Jr.,Tony Stark / Iron Man,0
232,99861,74568,Chris Hemsworth,Thor,1
233,99861,103,Mark Ruffalo,Bruce Banner / Hulk,2
234,99861,16828,Chris Evans,Steve Rogers / Captain America,3
235,99861,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,4
236,99861,17604,Jeremy Renner,Clint Barton / Hawkeye,5
237,99861,13548,James Spader,Ultron (voice),6
238,99861,2231,Samuel L. Jackson,Nick Fury,7
239,99861,1896,Don Cheadle,James Rhodes / War Machine,8
240,99861,27428,Aaron Taylor-Johnson,Pietro Maximoff / Quicksilver,9
241,49026,3894,Christian Bale,Bruce Wayne,0
242,49026,64,Gary Oldman,Commissioner Gordon,1
243,49026,2524,Tom Hardy,Bane,2
244,49026,24045,Joseph Gordon-Levitt,Blake,3
245,49026,1813,Anne Hathaway,Selina,4
246,49026,8293,Marion Cotillard,Miranda,5
247,49026,192,Morgan Freeman,Fox,6
248,49026,3895,Michael Caine,Alfred,7
249,49026,8654,Matthew Modine,Foley,8
250,49026,16607,Alon Aboutboul,Dr. Pavel,9
251,16869,287,Brad Pitt,LT. Aldo Raine,0
252,16869,19119,Mélanie Laurent,Shosanna,1
253,16869,27319,Christoph Waltz,COL. Hans Landa,2
254,16869,16847,Eli Roth,SGT. Donny Donowitz,3
255,16869,17288,Michael Fassbender,LT. Archie Hicox,4
256,16869,9824,Diane Kruger,Bridget von Hammersmark,5
257,16869,3872,Daniel Brühl,Fredrick Zoller,6
258,16869,1844,Til Schweiger,SGT. Hugo Stiglitz,7
259,16869,32823,Gedeon Burkhard,CPL. Wilhelm Wicki,8
260,16869,51636,Jacky Ido,Marcel,9
261,76341,2524,Tom Hardy,Max Rockatansky,0
262,76341,6885,Charlize Theron,Imperator Furiosa,1
263,76341,3292,Nicholas Hoult,Nux,2
264,76341,26060,Hugh Keays-Byrne,Immortan Joe,3
265,76341,1056053,Josh Helman,Slit,4
266,76341,24898,Nathan Jones,Rictus Erectus,5
267,76341,37153,Zoë Kravitz,Toast the Knowing,6
268,76341,236048,Rosie Huntington-Whiteley,The Splendid Angharad,7
269,76341,98522,Riley Keough,Capable,8
270,76341,1036288,Abbey Lee,The Dag,9
271,271110,16828,Chris Evans,Steve Rogers / Captain America,0
272,271110,3223,Robert Downey Jr.,Tony Stark / Iron Man,1
273,271110,1245,Scarlett Johansson,Natasha Romanoff / Black Widow,2
274,271110,60898,Sebastian Stan,Bucky Barnes / Winter Soldier,3
275,271110,53650,Anthony Mackie,Sam Wilson / Falcon,4
276,271110,1896,Don Cheadle,Lieutenant James Rhodes / War Machine,5
277,271110,17604,Jeremy Renner,Clint Barton / Hawkeye,6
278,271110,172069,Chadwick Boseman,T'Challa / Black Panther,7
279,271110,6162,Paul Bettany,Vision,8
280,271110,550843,Elizabeth Olsen,Wanda Maximoff / Scarlet Witch,9
281,121,109,Elijah Wood,Frodo,0
282,121,1327,Ian McKellen,Gandalf,1
283,121,110,Viggo Mortensen,Aragorn,2
284,121,1328,Sean Astin,Sam,3
285,121,1333,Andy Serkis,Gollum,4
286,121,655,John Rhys-Davies,Gimli / Treebeard (voice),5
287,121,114,Orlando Bloom,Legolas,6
288,121,1369,Bernard Hill,Théoden,7
289,121,502,Miranda Otto,Éowyn,8
290,121,1330,Dominic Monaghan,Merry,9
291,672,10980,Daniel Radcliffe,Harry Potter,0
292,672,10989,Rupert Grint,Ron Weasley,1
293,672,10990,Emma Watson,Hermione Granger,2
294,672,11181,Kenneth Branagh,Gilderoy Lockhart,3
295,672,13014,Toby Jones,Dobby (voice),4
296,672,1923,Robbie Coltrane,Rubeus Hagrid,5
297,672,194,Richard Harris,Albus Dumbledore,6
298,672,4566,Alan Rickman,Severus Snape,7
299,672,10993,Tom Felton,Draco Malfoy,8
300,672,11355,Jason Isaacs,Lucius Malfoy,9
301,284054,172069,Chadwick Boseman,T'Challa / Black Panther,0
302,284054,135651,Michael B. Jordan,Erik Killmonger,1
303,284054,1267329,Lupita Nyong'o,Nakia,2
304,284054,82104,Danai Gurira,Okoye,3
