movie_id,genre_id
337404,35
337404,80
337404,18
591,53
591,9648
316029,18
13183,9648
13183,28
13183,878
107,80
107,35
954,12
954,28
954,53
9738,28
9738,14
9738,878
156022,53
156022,28
156022,80
670,53
670,9648
9741,53
9741,18
9741,9648
550988,35
550988,12
550988,878
318846,35
318846,18
124905,28
124905,18
124905,878
810,14
810,12
810,16
810,35
810,10751
620,35
620,14
281338,18
281338,878
281338,10752
9487,12
9487,16
9487,35
9487,10751
18239,12
18239,14
18239,18
18239,10749
177677,28
177677,12
429,37
180,878
180,28
180,53
54138,28
54138,12
54138,878
264644,18
264644,53
474350,27
474350,53
474350,18
744,28
744,18
744,10749
436969,28
436969,35
436969,12
273481,28
273481,80
273481,53
68724,878
68724,28
68724,18
68724,53
10625,18
10625,35
664413,10749
664413,18
664413,80
138832,35
138832,80
126889,27
126889,878
646380,35
646380,878
646380,18
512200,12
512200,35
512200,14
747,27
747,35
300668,878
300668,27
50620,14
50620,18
50620,10749
45269,18
45269,36
50646,35
50646,18
50646,10749
39254,28
39254,878
39254,18
122906,18
122906,10749
122906,14
348350,878
348350,12
348350,28
74,12
74,53
74,878
330,12
330,28
330,878
50619,12
50619,14
50619,10749
106,878
106,28
106,12
106,53
24021,12
24021,14
24021,18
24021,10749
259693,27
8373,878
8373,28
8373,12
47971,28
47971,12
47971,80
76492,16
76492,35
76492,10751
76492,14
524434,878
524434,28
524434,12
45612,53
45612,878
45612,9648
63,878
63,53
63,9648
353081,28
353081,12
28,18
28,10752
275,80
275,18
275,53
14836,16
14836,10751
14836,14
450465,53
450465,18
450465,878
152532,18
152532,36
50014,18
464052,28
464052,12
464052,14
359724,18
359724,36
359724,28
128,12
128,14
128,16
217,12
217,28
254128,28
254128,18
254128,53
391713,18
391713,35
315162,16
315162,12
315162,14
315162,35
315162,10751
87101,878
87101,28
87101,53
114,10749
114,35
68734,18
68734,53
533535,28
533535,35
533535,878
38356,28
38356,878
38356,12
4951,35
4951,10749
4951,18
508943,16
508943,10751
508943,14
508943,18
508943,35
137,10749
137,14
137,35
435,878
435,53
435,12
8355,16
8355,35
8355,10751
8355,12
51497,28
51497,53
51497,80
187,80
187,53
8392,14
8392,16
8392,10751
158015,878
158015,27
158015,53
569094,16
569094,28
569094,12
569094,878
402900,80
402900,35
402900,28
314365,18
314365,36
91314,878
91314,28
91314,12
4348,18
4348,10749
594,35
594,18
38700,53
38700,28
38700,80
333371,53
333371,878
333371,18
333371,27
290250,35
290250,80
290250,28
9552,27
493922,27
493922,9648
493922,53
1366,18
466282,35
466282,10749
616037,14
616037,28
616037,35
22538,28
22538,35
22538,10749
95,28
95,878
95,12
22970,27
22970,9648
22970,35
170,27
170,53
170,878
268,14
268,28
268,80
10764,12
10764,28
10764,53
315837,878
315837,18
315837,28
35,16
35,35
35,10751
187017,80
187017,35
187017,28
2108,35
2108,18
254,12
254,18
254,28
137106,16
137106,10751
137106,12
137106,35
137106,14
49013,16
49013,10751
49013,12
49013,35
328111,16
328111,35
328111,10751
328111,12
339846,35
339846,28
339846,80
278927,12
278927,10751
278927,14
198184,80
198184,28
198184,878
447365,878
447365,12
447365,28
4011,14
4011,35
537915,18
537915,10749
396535,28
396535,27
396535,53
615457,28
615457,53
949,80
949,18
949,28
335797,16
335797,35
335797,10751
335797,10402
336843,878
336843,28
336843,12
336843,53
1979,878
1979,12
1979,28
10144,16
10144,10751
10144,14
2503,28
2503,18
2503,9648
2503,53
4638,80
4638,28
4638,35
50544,10749
50544,35
2105,35
2105,10749
1372,18
1372,53
1372,28
338970,28
338970,12
338970,14
337167,18
337167,10749
27578,53
27578,12
27578,28
116745,12
116745,35
116745,18
116745,14
8871,10751
8871,35
8871,14
1954,878
1954,53
561,14
561,28
561,27
340666,18
340666,53
