movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,status,overview
840326,Sisu,fi,2022-09-09,91,6600000.0,14281199.0,10.9356,7.4,2900,Released,"When an ex-soldier who discovers gold in the Lapland wilderness tries to take the loot into the city, German soldiers led by a brutal SS officer battle him."
521,Dial M for Murder,en,1954-05-29,105,1400000.0,3000000.0,5.7691,8.002,2897,Released,"When her American lover visits London, a wealthy woman’s jealous husband hatches a plan to murder her and inherit her fortune."
800158,The Killer,en,2023-10-25,118,175000000.0,362113.0,14.6154,6.6,2894,Released,"After a fateful miss, an assassin battles his employers, and himself, on an international manhunt he insists isn't personal."
614917,King Richard,en,2021-11-18,144,50000000.0,39400000.0,7.232,7.6,2893,Released,"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history."
535581,The Dead Don't Die,en,2019-05-15,104,11000000.0,15325468.0,5.5573,5.435,2892,Released,"In the sleepy town of Centerville, the lives of a number of interconnected characters are disrupted by the undead."
5925,The Great Escape,en,1963-07-03,173,4000000.0,11700000.0,9.0715,7.928,2891,Released,"The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story."
502033,Sound of Metal,en,2020-11-20,121,0.0,516520.0,6.2355,7.701,2886,Released,"Metal drummer Ruben begins to lose his hearing. When a doctor tells him his condition will worsen, he thinks his career and life is over. His girlfriend Lou checks the former addict into a rehab for the deaf hoping it will prevent a relapse and help him adapt to his new life. After being welcomed and accepted just as he is, Ruben must choose between his new normal and the life he once knew."
388399,Patriots Day,en,2016-12-12,133,45000000.0,50548152.0,8.8927,7.1,2885,Released,"In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again."
38117,Beastly,en,2011-01-21,86,17000000.0,43200000.0,4.3601,6.306,2885,Released,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love."
505600,Booksmart,en,2019-05-24,102,6000000.0,24849029.0,7.8232,6.999,2884,Released,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night."
403119,47 Meters Down,en,2017-05-25,89,5500000.0,62198461.0,6.6044,5.803,2883,Released,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
505948,I Am Mother,en,2019-06-07,113,0.0,643593.0,5.4557,6.71,2880,Released,"A teenage girl is raised underground by a robot ""Mother"", designed to repopulate the earth following an extinction event. But their unique bond is threatened when an inexplicable stranger arrives with alarming news."
17609,Antichrist,en,2009-05-20,104,11000000.0,7413863.0,6.4895,6.62,2876,Released,"A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse."
6466,Freddy vs. Jason,en,2003-08-15,97,30000000.0,116643421.0,7.748,6.098,2876,Released,"Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too."
5,Four Rooms,en,1995-12-09,98,4000000.0,4257354.0,7.1595,5.908,2876,Released,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.
705861,Hustle,en,2022-06-03,117,21000000.0,0.0,5.4513,7.698,2874,Released,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA."
266647,Pan,en,2015-09-24,111,150000000.0,128388320.0,6.9922,5.957,2874,Released,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan."
265177,Mommy,fr,2014-09-19,138,4900000.0,3494070.0,8.8749,8.199,2873,Released,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent."
9767,The Break-Up,en,2006-06-01,106,52000000.0,205700000.0,9.2178,5.903,2872,Released,"Pushed to the breaking-up point after their latest 'why can't you do this one little thing for me?' argument, Brooke calls it quits with her boyfriend Gary. What follows is a hilarious series of remedies, war tactics, overtures and undermining tricks – all encouraged by the former couple's friends and confidantes …and the occasional total stranger! When neither ex is willing to move out of their shared apartment, the only solution is to continue living as hostile roommates until one of them reaches breaking point."
